NOME,lat,lon,UNIDADE,CONTATO,TELEFONE,ENDERECO,colors
FCAT,-21.462165,-51.554753000000005,UNESP,www.dracena.unesp.br,18 3821-8200,Rod. Cmte João Ribeiro de Barros - km 651 - 17900-000 - Bairro das Antas,red
FRANCA,-20.5113393,-47.3863658,UNESP,www.franca.unesp.br,55 16 3706-8700,"Av. Eufrásia Monteiro Petráglia - 900 - 14409-160 - Jardim Dr. Antonio Petraglia, Franca",red
GUARATINGUETÁ,-22.803458,-45.191474299999996,UNESP,www2.feg.unesp.br,12 3123-2800,Av. Dr. Ariberto Pereira da Cunha - 333 - 12516-410 - Portal das Colinas,red
ILHA SOLTEIRA,-20.430082100000003,-51.3390972,UNESP,www.unesp.br,18 3743-1158,Alameda Bahia - 550 - 15385-000 - centro,red
ITAPEVA,-23.981165,-48.883243,UNESP,www.itapeva.unesp.br,15 3524-9100,Rua Geraldo Alckmin - 519 - 18409-010 - Vila Nossa Sra. de Fatima,red
FCAV,-21.243999399999996,-48.2930851,UNESP,www.fcav.unesp.br,16 3209-7100,Via de Acesso Prof. Paulo Donato Castelane - s/n - 14884-900 - Jaboticabal,red
CPL,-23.971158499999998,-46.3946092,UNESP,www.clp.unesp.br,13 3569-7100,Praça Infante Dom Henrique - s/n - 11330-900 - Parque Bitaru,red
MARÍLIA,-22.2331475,-49.969174100000004,UNESP,www.unesp.br,14 3402-1300,Av. Higino Muzi Filho - 737 - 17525-900 - Mirante,red
OURINHOS,-22.9991189,-49.84387,UNESP,www.ourinhos.unesp.br,14 3302-9500,Avenida Renato Costa Lima - 451 - 19903-302 - Ville de France,red
FCT,-22.1070922,-51.3872013,UNESP,www.fct.unesp.br,19020-350,Av. Ademar de Barros - 908-936 - 19020-350 - Jardim Aviação,red
REGISTRO,-24.5014746,-47.851757,UNESP,www.registro.unesp.br,13 3828-2900,Av. Nelson Brihi Badur - 430 - 11900-000 - Vila Tupy,red
RIO CLARO,-22.3957861,-47.5469882,UNESP,www.rc.unesp.br,19 3526-4134,Av. 24 A - 1515 - 13506-700 - Bela Vista,red
UNESP ROSANA,-22.522626000000002,-52.95129,UNESP,www.rosana.unesp.br,18 3284-9600,Av. dos Barrageiros - 1881 - 19273-000 - Primavera,red
SJBV,-21.997874,-46.792821,UNESP,www.sjbv.unesp.br,19 3638-2400,Av. Profa. Isette Corrêa Fontão - 505 - 13876-750 - Jardim das Flores,red
IBILCE,-20.7851971,-49.3597545,UNESP,www.unesp.br,17 3221-2200,"R. Cristóvão Colombo, - 2265 - 15054-000 - Jardim Nazareth",red
INSTITUTO DE ARTES,-23.5238975,-46.6676638,UNESP,www.ia.unesp.br,11 3393-8530,R. Dr. Bento Teobaldo Ferraz - 271 - 01140-070 - Barra Funda,red
IFT,-23.524277899999998,-46.6654425,UNESP,www.ift.unesp.br,01140-070,R. Dr. Bento Teobaldo Ferraz - 271 - 01140-070 - Várzea da Barra Funda,red
IPPRI,-23.549890899999998,-46.6343716,UNESP,www.ippri.unesp.br,11 3116-1800,"Praça da Sé - 108, 3º e 4º andares - 01006-001 - Sé",red
SOROCABA,-23.4793586,-47.417244200000006,UNESP,www.sorocaba.unesp.br,15 3238-3409,Av. Três de Março - 511 - 18087-180 - Aparecidinha,red
TUPÃ,-21.9281832,-50.4922789,UNESP,www.tupa.unesp.br,14 3404-4200,R. Domingos da Costa Lopes - 780 - 17602-496 - Jardim Itaipu,red
IFSP ARARAQUARA,-21.7839127,-48.210961100000006,Instituto Federal,arq.ifsp.edu.br,16 3303-2332,Rua Doutor Aldo Benedito Pierri - 250 - 14801-600 - Jardim dos Manacas,red
IFSP AVARÉ,-23.078456,-48.926257,Instituto Federal,avr.ifsp.edu.br,55 14 3731-0300,Av. Prof. Célso Ferreira da Silva - s/n - 18707-150 - Jardim Europa II,red
IFSP  BARRETOS,-20.540775,-48.549430799999996,Instituto Federal,www.ifsp.edu.br,17 3312-0700,Avenida C-1 - 250 - 14781-502 - Bairro Ide Daher,red
IFSP BIRIGUI,-21.2495184,-50.3135536,Instituto Federal,www.ifsp.edu.br,18 3643-1160,Rua Pedro Cavalo - 709 - 16201-407 - Residencial Portal da Pérola II,red
IFSP BOITUVA,-23.288399,-47.652209,Instituto Federal,btv.ifsp.edu.br,15 3363-8610,R. Zélia de Lima Rosa - 100 - 18550-000 - Portal dos Pássaros,red
