NOME,lat,lon,UNIDADE,CONTATO,TELEFONE,ENDERECO,colors
FACULDADE DE TECNOLOGIA DE POMPEIA - SHUNJI NISHIMURA (FATEC POMPEIA),-22.1098646,-50.1969503,FATEC Pompeia,www.fatecpompeia.edu.br,,Av. Fundação Shunji Nishimura e Tecnologia - 605 - CEP: 17580-000 - Distrito Industrial,red
FACULDADE DE TECNOLOGIA DE PRAIA GRANDE (FATECPG),-24.00513,-46.4121932,FATECPG,fatecpg.com.br,,Praça 19 de Janeiro - 144 - CEP: 11700-100 - Boqueirão,red
FACULDADE DE TECNOLOGIA DE PRESIDENTE PRUDENTE (FATEC),-22.1398975,-51.3840447,FATEC,www.fatecpp.edu.br,,Rua Teresina - 75 - CEP: 19046-230 - Vila Paulo Roberto,red
FACULDADE DE TECNOLOGIA DE SANTANA DE PARNAÍBA (FATEC-SPB),-23.4067888,-46.8780121,FATEC-SPB,,,Estrada Tenente Marques - s/n - CEP: 06529-001 - Jardim do Luar (Fazendinha),red
FACULDADE DE TECNOLOGIA DE SÃO BERNARDO DO CAMPO (FATEC-SB),-23.6956191,-46.5469041,FATEC-SB,www.fatecsbc.edu.br,,Avenida Pereira Barreto - 400 - CEP: 09751-000 - Vila Baeta Neves,red
FACULDADE DE TECNOLOGIA DE SÃO CAETANO DO SUL (FATEC SCS),-23.6377431,-46.5788834,FATEC SCS,www.fatecsaocaetano.edu.br,,Rua Bell Aliance - 225 - CEP: 09581-420 - Jardim São Caetano,red
FACULDADE DE TECNOLOGIA DE SÃO CARLOS (FATEC SÃO CARLO),-22.001371,-47.8795665,FATEC São Carlo,www.fatecsaocarlos.edu.br,,Rua Marechal Deodoro - 3183 - CEP: 13560-201 - Chácara Parollo,red
FACULDADE DE TECNOLOGIA DE SÃO JOSÉ DO RIO PRETO (FATECRP),-20.7935959,-49.3998421999999,FATECRP,www.fatecriopreto.edu.br,,Rua Fernandópolis - 2510 - CEP: 15043-020 - Eldorado,red
FACULDADE DE TECNOLOGIA DE SÃO JOSÉ DOS CAMPOS - JESSEN VIDAL (FATECSJCAMPOS),-23.1621987,-45.7952995,FATECSJCAMPOS,www.fatecsjc.edu.br,,Av. Cesare Mansueto Giulio Lattes - s/n - CEP: 12247-014 - Eugênio de Melo,red
FACULDADE DE TECNOLOGIA DE SÃO PAULO (FATEC-SP),-23.5295777,-46.6325629,FATEC-SP,www.fatecsp.br,,Praça Coronel Fernando Prestes - 30 - CEP: 01124-060 - BOM RETIRO,red
FACULDADE DE TECNOLOGIA DE SÃO ROQUE (FATEC-SR),-23.5329421,-47.1340382,FATEC-SR,http://www.fatecsaoroque.edu.br,,Rua Marechal Deodoro da Fonseca - 132 - CEP: 18130-070 - Centro,red
FACULDADE DE TECNOLOGIA DE SÃO SEBASTIÃO (FATEC SS),-23.6956191,-46.5469041,Fatec SS,www.fatecsaosebastiao.edu.br,,Rua Ítalo Nascimento - 366 - CEP: 11600-970 - Porto Grande,red
FACULDADE DE TECNOLOGIA DE SERTÃOZINHO (FATEC SERTÃOZINHO),-21.1409734,-48.0003332,FATEC SERTÃOZINHO,www.fatecsertaozinho.edu.br,,Rua Jordão Borghetti - 480 - CEP: 14160-000 - São João,red
FACULDADE DE TECNOLOGIA DE SOROCABA (FATEC SO),-23.4805389,-47.4259652,FATEC SO,www.fatecsorocaba.edu.br,,AVENIDA ENGENHEIRO CARLOS REINALDO MENDES - 2.015 - CEP: 18013-280 - ALTO DA BOA VISTA,red
FACULDADE DE TECNOLOGIA DE SUMARÉ (FATEC DE SUMARÉ),-22.8209131,-47.2656791,Fatec de Sumaré,www.fatecsumare.com.br,,Rua Ipiranga - 73 - CEP: 13170-026 - Centro,red
FACULDADE DE TECNOLOGIA DE TAQUARITINGA (FATEC/TQ),-21.430094,-48.515285,FATEC/TQ,www.fatectq.edu.br,,Avenida Doutor Flávio Henrique Lemos - 585 - CEP: 15900-000 - PORTAL ITAMARACÁ,red
FACULDADE DE TECNOLOGIA DE TATUÍ - PROF. WILSON ROBERTO RIBEIRO DE CAMARGO (FATEC TATUÍ),-23.3306028,-47.8681699,FATEC TATUÍ,www.fatectatui.edu.br,,ROD. MARIO BATISTA MORI - 971 - CEP: 18270-000 - JD AEROPORTO,red
FACULDADE DE TECNOLOGIA DE TAUBATÉ (FATEC TAUBATÉ),-23.0143224,-45.5379672,FATEC TAUBATÉ,www.fatectaubate.edu.br,,Avenida Tomé Portes Del Rei - 525 - CEP: 12070-610 - Vila São José,red
FACULDADE DE TECNOLOGIA DO IPIRANGA (FATECIPI),-23.6097112,-46.6078851,FATECIPI,www.fatecipiranga.edu.br,,Rua Frei João - 59 - CEP: 04280-130 - Vila Nair,red
FACULDADE DE TECNOLOGIA DOM AMAURY CASTANHO (FATEC ITU),-23.2903129,-47.2962655,Fatec Itu,www.fatecitu.edu.br,,Avenida Tiradentes - 1211 - CEP: 13309-640 - Jardim das Indústrias,red
FACULDADE DE TECNOLOGIA DO TATUAPÉ (FATEC-TT),-23.5372602,-46.5583322,FATEC-TT,www.fatectatuape.edu.br,,Rua Antônio de Barros - 800 - CEP: 03401-000 - Tatuapé,red
FACULDADE DE TECNOLOGIA DR. THOMAZ NOVELINO (FATEC FRANCA),-20.5149138,-47.4006943,FATEC Franca,www.fatecfranca.edu.br,,Rua Major Claudiano - 1488 - CEP: 14400-690 - Centro,red
FACULDADE DE TECNOLOGIA ESTUDANTE RAFAEL ALMEIDA CAMARINHA - MARILIA (FATEC MARILIA),-22.2082415,-49.9539781,Fatec Marilia,www.fatecmarilia.edu.br,,Avenida Castro Alves - 62 - CEP: 17506-000 - São Miguel,red
FACULDADE DE TECNOLOGIA - FATEC DE RIBEIRÃO PRETO,-21.1875179,-47.8336921,-,www.fatecrp.edu.br,,Avenida Pio XII - 1255 - CEP: 14030-250 - Vila Virgínia,red
FACULDADE DE TECNOLOGIA JORGE CARAM SABBAG (FATEC BEBEDOURO),-20.9555014,-48.4855072999999,FATEC Bebedouro,,,Rua Doutor Oscar Werneck - 1286 - CEP: 17701-120 - Centro,red
FACULDADE DE TECNOLOGIA NILO DE STÉFANI - JABOTICABAL (FATEC JBL),-21.2510065,-48.3064932,FATEC JBL,www.fatecjaboticabal.edu.br,,Avenida Eduardo Zambianchi - 31 - CEP: 14883-130 - Vila Industrial,red
FACULDADE DE TECNOLOGIA PROFESSOR ANTÔNIO SEABRA (FATEC LINS),-21.698322,-49.7502455,FATEC LINS,www.fateclins.edu.br,,Estrada Mário Covas Júnior - S/N - CEP: 16400-000 - Zona Rural,red
FACULDADE DE TECNOLOGIA RUBENS LARA (FATEC-BS),-23.6956191,-46.5469041,FATEC-BS,www.fatecrl.edu.br,,Avenida Bartolomeu de Gusmão 110 Fatec - Faculdade de Tecnólogia da Baixada Santista - 110 - CEP: 11045-908 - Aparecida,red
FACULDADE DE TECNOLOGIA SANTO ANDRÉ (FATEC-SA),-23.6598399,-46.5304346,FATEC-SA,www.fatecsantoandre.com.br,,Rua Prefeito Justino Paixão - 150 - CEP: 09020-130 - Centro,red
FACULDADE DE TECNOLOGIA SEBRAE (FATEC SEBRAE),-23.5329681,-46.6471934,FATEC SEBRAE,www.fatecsebrae.edu.br,,Alameda Nothmann - 598 - CEP: 01216-000 - Campos Elíseos,red
FACULDADE DE TECNOLOGIA ZONA LESTE (FATEC-ZL),-23.5215051,-46.4761905,FATEC-ZL,www.fateczl.edu.br,,Rua Sonho Gaúcho - 641 - CEP: 03685-000 - Cidade AE Carvalho,red
FACULDADE DE TECONOLOGIA DA ZONA SUL (FATEC ZONASUL),-23.6632222,-46.7290609,FATEC ZONASUL,www.fateczonasul.edu.br,,Rua Frederico Grotte - 322 - CEP: 05818-270 - Jardim Vergueiro,red
CENTRO DE EDUCAÇÃO TECNOLÓGICO DA FUNDAÇÃO INDAIATUBANA DE EDUCAÇÃO E CULTURA (FIEC),-23.0862175,-47.2028386,FMPFM,www.francomontoro.com.br,,Estrada da Cachoeira de Cima - s/n - CEP: 13840-000 - Centro,red
CENTRO DE INSTRUÇÃO DE AVIAÇÃO DO EXÉRCITO (CIAVEX),-23.044709,-45.5266678,-,www.fundec.edu.br/unifadra/,,AV. ALCIDES CHACON COUTO - 395 - CEP: 17900-000 - METROPOLE,red
"ESCOLA SUPERIOR DE CRUZEIRO ""PREFEITO HAMILTON VIEIRA MENDES"" (ESEFIC)",-22.567068,-44.9606094,FIRA,www.frea.edu.br,,Praça Prefeito Romeu Bretas - 163 - CEP: 18700-902 - CENTRO,red
FACULDADE DA FUNDAÇÃO EDUCACIONAL ARAÇATUBA (FAC-FEA),-21.195333,-50.4376124,FATECMM,http://www.fatecmm.edu.br,,Rua Ariovaldo Silveira Franco - 567 - CEP: 13801-005 - Jardim 31 de Março,red
FACULDADE DE DIREITO DE FRANCA (FDF),-20.536797,-47.3916155999999,-,www.fateccruzeiro.edu.br,,Rua Doutor Othon Barcelos - s/n - CEP: 12730-010 - Itagaçaba,red
FACULDADE DE MEDICINA DE MARÍLIA,-22.226786,-49.9367549,UFABC,www.ufabc.edu.br,,Avenida dos Estados - 5001 - CEP: 09210-580 - Santa Teresinha,red
FACULDADE DE MEDICINA DE SÃO JOSÉ DO RIO PRETO (FAMERP),-20.8275796,-49.3962249,UNIVESP,univesp.br,,"R Bela Cintra, Edifício Adélia Saliba - 847 - CEP: 01415-903 - Consolação",red
FUNDACAO DRACENENSE DE EDUCACAO E CULTURA,-21.4861825,-51.5280679,IESF,,,Rua Aldo Moretti - 181 - CEP: 13140-000 - Jardim Ouro Negro,red
UNIVERSIDADE DE TAUBATÉ (UNITAU),-23.0273646175953,-45.5626781899568,IFSP,www.ifsp.edu.br,,Rua Pedro Vicente - 625 - CEP: 01109-010 - Canindé,red
